AbsClampIATCall                        returned 0 writes, no hit
DecCallPushCall                        returned 33 writes, no hit
DecJneSetCallSetJmp                    returned 1 writes, no hit
DecOrDirty_004a7d90                    returned 1 writes, no hit
DecOrDirty_004a7de0                    returned 1 writes, no hit
DecOrZeroDirty4                        returned 1 writes, no hit
DecodeModeFlags                        returned 0 writes, no hit
DecodeTableAllocaCall                  returned 0 writes, no hit
DeltaAbsCompareBitToggle               returned 2 writes, no hit
DeobfuscateConfig                      returned 147 writes, no hit
DialogProbeDispatch                    returned 0 writes, no hit
DialogProbeDispatch640                 returned 0 writes, no hit
DiffMul10Loop                          returned 4 writes, no hit
Dirty4Branch_MStackPushDual_StackPop_00428390 returned 10 writes, no hit
DirtyBitToggleDispatch                 returned 3 writes, no hit
DirtyBitTripleWriteOrCall              returned 6 writes, no hit
DirtyDoubleDeref                       returned 2 writes, no hit
DirtyFlagsManip                        returned 1 writes, no hit
DirtyFlagsManipB                       returned 1 writes, no hit
DirtyGuardLitOrJmp_0047ef40            returned 26 writes, no hit
DirtyGuardLitOrJmp_00496940            returned 16 writes, no hit
DirtyKeyedStateCopy                    returned 3 writes, no hit
DirtyOrFlagDispatch                    returned 3 writes, no hit
DirtyOrJmp                             ran out  3 writes, no hit
DirtyPushCallPop                       returned 4 writes, no hit
DirtyTestScaledCmpJmp                  returned 0 writes, no hit
DirtyTestScaledCopy                    returned 6 writes, no hit
DirtyToggleByBaseSel                   returned 2 writes, no hit
DirtyToggleByGate                      returned 1 writes, no hit
DirtyToggleInstall                     returned 4 writes, no hit
DirtyToggleScaledTest                  returned 2 writes, no hit
DispatchCopyFields                     returned 3 writes, no hit
DispatchDoubleScaledCluster            returned 18 writes, no hit
DispatchEventQueue                     returned 2 writes, no hit
DispatchEventQueue_Commit              returned 1 writes, no hit
DispatchGuardedDirtyTest               returned 11 writes, no hit
DispatchOrInitFightGroup               returned 9 writes, no hit
DispatchPair                           ran out  7 writes, no hit
DispatchProbeOrTransformB              returned 8 writes, no hit
DispatchProbeOrTransformC              returned 8 writes, no hit
DispatchScaledLEA                      returned 1 writes, no hit
DispatchSetDirtyToggle                 returned 1 writes, no hit
DispatchSetWalk2                       returned 11 writes, no hit
DispatchSetWalk3                       returned 11 writes, no hit
DispatchSetWalk4                       returned 11 writes, no hit
DispatchSetWalk5                       returned 11 writes, no hit
DispatchSetWalk6                       returned 12 writes, no hit
DispatchSwitchWalkCmp                  returned 29 writes, no hit
DispatchThroughBaseSel6c               returned 2 writes, no hit
DispatchWcSwitch                       returned 40 writes, no hit
DispatcherChainRampClamp               returned 3 writes, no hit
DispatcherComplex115_Cmp3DirtyToggle_0049f900 returned 0 writes, no hit
DispatcherComplex115_Cmp3DirtyToggle_0049f980 returned 0 writes, no hit
DispatcherComplex131_00431530          returned 6 writes, no hit
DispatcherComplex131_004315c0          returned 6 writes, no hit
DispatcherComplex138_00476060          returned 1 writes, no hit
DispatcherComplex138_004760f0          returned 1 writes, no hit
DispatcherComplex181_Push70CallScaleArith returned 4 writes, no hit
DispatcherComplex181_Push70CallScaleArith2 returned 4 writes, no hit
DispatcherComplex181_StreamChainStringInstall returned 4 writes, no hit
DispatcherComplex197_0045be40          returned 8 writes, no hit
DispatcherComplex197_0045bf10          returned 6 writes, no hit
DispatcherComplex249_00447890          returned 13 writes, no hit
DispatcherComplex249_00447990          returned 13 writes, no hit
DispatcherComplex260_FramePauseScaledStore returned 3 writes, no hit
DispatcherComplex260_MStackBracket1_TreeWalkRecursive2 returned 2 writes, no hit
Distance2DSaturationClamp              returned 5 writes, no hit
Distance3DMul10Chain                   returned 7 writes, no hit
DivBy                                  returned 0 writes, no hit
DivLongPushCall                        returned 0 writes, no hit
DivMod32IAT                            ran out  0 writes, no hit
DosMapErr                              ran out  0 writes, no hit
DoubleCallChainInit                    returned 6 writes, no hit
DoubleIndirectFourWaySelect            returned 2 writes, no hit
DoublePackedPtrInstall                 returned 3 writes, no hit
DoublePushAddCallDoublePop             returned 6 writes, no hit
DoublePushCallDoublePop                returned 3 writes, no hit
DoublePushCallDualPopJmp               ran out  4 writes, no hit
DoublePushScaledInitJmp                returned 6 writes, no hit
DoublePushWalkInitJmp                  returned 67 writes, no hit
DoubleScaledCrossStore                 returned 0 writes, no hit
DoubleStackPushAndJmp                  returned 9 writes, no hit
DoubleStackPushAndJmp7b                returned 9 writes, no hit
DoubleStackPushAndJmp7d                returned 9 writes, no hit
DoubleToInt64                          returned 0 writes, no hit
DoubleToLongDouble                     returned 0 writes, no hit
DownloadCharSetup                      returned 3 writes, no hit
DownloadDualPush                       returned 3 writes, no hit
DownloadPlayerChar                     returned 5 writes, no hit
DownloadPlayerChar_Variant             ran out  4 writes, no hit
DrainQueueCallEach                     returned 2 writes, no hit
DrawMenu                               returned 0 writes, no hit
DrawMeshBlock                          returned 0 writes, no hit
DrawScene                              ran out  0 writes, no hit
DualAddSar                             returned 3 writes, no hit
DualAxisScalePair                      returned 9 writes, no hit
DualBitFlagAudioChain                  returned 3 writes, no hit
DualBitGateInitCall                    returned 0 writes, no hit
DualBlockChainCallInstall              returned 27 writes, no hit
DualBlockChainInitBody                 returned 24 writes, no hit
DualBlockInstallMul10Tail              returned 18 writes, no hit
DualBlockInstallSelfWithSibling        returned 4 writes, no hit
DualBlockPauseAbsDirty                 returned 0 writes, no hit
DualBlockThunkPlus3State               returned 29 writes, no hit
DualBranchWordLookup                   returned 1 writes, no hit
DualCallPauseAddrSetRecurse_func_004196c0_jj returned 11 writes, no hit
DualCallPauseAddrSetRecurse_func_00419780_jj returned 11 writes, no hit
DualCallPauseAddrSetRecurse_func_00419840_jj returned 11 writes, no hit
DualCallPauseAddrSetRecurse_func_00419980_jj returned 11 writes, no hit
DualCallPauseAddrSetRecurse_func_00419a40_jj returned 11 writes, no hit
DualCallPauseAddrSetRecurse_func_00419b00_jj returned 11 writes, no hit
DualCallPauseDirtyDoubleJmp            returned 46 writes, no hit
DualCallPauseDirtyJmp_00435f20         ran out  6 writes, no hit
DualCallPauseDirtyJmp_00490c30         returned 8 writes, no hit
DualCallPauseJmpDual                   returned 46 writes, no hit
DualCallSetByte                        returned 1 writes, no hit
DualCallTestPauseRange                 ran out  6 writes, no hit
DualChainSubCallSubLoad                returned 5 writes, no hit
DualCmpSetFlagBitToggle                returned 2 writes, no hit
DualCmpSwapStore                       returned 1 writes, no hit
DualCondCleanupCall                    returned 0 writes, no hit
DualCondMatchSet                       returned 0 writes, no hit
DualConstJmpBig                        returned 3 writes, no hit
DualConstJmpNeg1                       returned 2 writes, no hit
DualConstJmp_00453480                  returned 11 writes, no hit
DualConstJmp_004534a0                  returned 11 writes, no hit
DualConstJmp_004534c0                  returned 11 writes, no hit
DualConstMaskFlagToggle4               returned 3 writes, no hit
DualConstMaskFlagToggle8               returned 3 writes, no hit
DualCounterPhaseGateInstall            returned 10 writes, no hit
DualEntry4002Chain                     returned 2 writes, no hit
DualEntry5WayThreshold                 returned 36 writes, no hit
DualEntryBitFlagDispatch               returned 1 writes, no hit
DualEntryBitGated                      returned 2 writes, no hit
DualEntryDecLoop                       returned 3 writes, no hit
DualEntryInitCmp                       returned 11 writes, no hit
DualEntryInitDispatch                  returned 6 writes, no hit
DualEntryInstall00471920               returned 5 writes, no hit
DualEntryInstallScaledChain_ArgSarStoreJmp_0047ef60 returned 16 writes, no hit
DualEntryInstallScaledChain_ArgSarStoreJmp_00486580 returned 12 writes, no hit
DualEntryInstallSelf                   returned 42 writes, no hit
DualEntryInstallSelfChain              returned 21 writes, no hit
DualEntryInstallSelfScaled             returned 0 writes, no hit
DualEntryPushCall                      returned 25 writes, no hit
DualEntryRecursiveInstall              returned 5 writes, no hit
DualEntryStateGated                    returned 39 writes, no hit
DualEntryStateLoadCascade              returned 5 writes, no hit
DualEntryStateMachine                  returned 11 writes, no hit
DualEntryStub                          returned 17 writes, no hit
DualFieldAddSubStore                   returned 2 writes, no hit
DualGatedStateYield                    returned 1 writes, no hit
DualGuardPushInstallJmp                returned 11 writes, no hit
DualGuardStateMachine                  returned 4 writes, no hit
DualGuardStateMachine_SaveCallRestore  returned 4 writes, no hit
DualGuardedChainJmp                    returned 11 writes, no hit
DualGuardedTableSearch                 returned 23 writes, no hit
DualHelperCallStoreCjFields            returned 6 writes, no hit
DualHelperMul10TailPair                returned 4 writes, no hit
DualInstallCallSwap_CjChainResetThreshold_then_CjChainResetThreshold ran out  4 writes, no hit
DualInstallCallSwap_SqDistThresholdRevertAdvance_then_SqDistThresholdRevertAdvance returned 8 writes, no hit
